2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1477|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:57.1615|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
