2023-05-25 17:20:45.8331|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2059|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" received HEADERS frame for stream ID 7 with length 52 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-25 17:20:47.2280|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-05-25 17:20:47.2408|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" received HEADERS frame for stream ID 9 with length 50 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-25 17:20:47.2408|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" received HEADERS frame for stream ID 11 with length 51 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-25 17:20:47.2408|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |Microsoft.AspNetCore.Internal.RangeHelper.ParseRange
2023-05-25 17:20:47.2490|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" received HEADERS frame for stream ID 13 with length 33 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-25 17:20:47.2490|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-05-25 17:20:47.2490|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |Microsoft.AspNetCore.Internal.RangeHelper.ParseRange
2023-05-25 17:20:47.2490|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending HEADERS frame for stream ID 7 with length 88 and flags END_HEADERS. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2602|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2602|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2602|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.2602|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
