2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8145|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8278|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8278|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-27 16:40:25.8278|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQUO15SE2AT" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
